state,Region
AL,Alabama
AL02,Alabama - Birmingham
AL05,Alabama - Gunthersville/Boaz/Arab
AL01,Alabama - Huntsville
AL04,Alabama - Mobile
AL03,Alabama - Montgomery
AK,Alaska
AK01,Alaska - Anchorage
AB,Alberta
AZ,Arizona
AZ01,Arizona - Flagstaff
AZ03,Arizona - Phoenix
AZ04,Arizona - Scottsdale
AZ02,Arizona - Tuscon
AR,Arkansas
AR04,Arkansas - El Dorado
AR02,Arkansas - Fayetteville
AR03,Arkansas - Jonesboro
AR01,Arkansas - Little Rock
BC,British Columbia
CA,California
CA06,California - Bakersfield
CA20,California - Bay Area
CA15,California - Central Coast
CA16,California - Chico
CA12,California - East Bay
CA10,California - Fresno
CA08,California - Inland Empire
CA01,California - Los Angeles
CA09,California - Monterey Bay
CA03,California - Orange County
CA19,California - Redding
CA02,California - Sacramento
CA17,California - San Diego
CA13,California - San Francisco
CA05,California - Santa Barbara
CA07,California - Santa Cruz
CA04,California - Silicon Valley
CA18,California - Sonoma / Napa
CA14,California - Stockton / Modesto
CA11,California - Ventura County
CAN,Canada
CO,Colorado
CO02,Colorado - Boulder
CO04,Colorado - Colorado Springs
CO01,Colorado - Denver
CO03,Colorado - Northern Colorado
CO05,Colorado - Western Colorado
CT,Connecticut
CT01,Connecticut - Hartford
CT03,Connecticut - New Haven
CT04,Connecticut - Putnam
CT02,Connecticut - Waterbury
DE,Delaware
DE02,Delaware - Dover
DE01,Delaware - Wilmington
DC,District of Columbia
FL,Florida
FL13,Florida - Cape Coral / Fort Myers
FL07,Florida - Daytona Beach
FL09,Florida - Fort Lauderdale
FL17,Florida - Ft. Walton/Destin
FL01,Florida - Gainesville
FL05,Florida - Jacksonville
FL20,Florida - Jupiter
FL12,Florida - Miami
FL10,Florida - Naples
FL03,Florida - Ocala
FL04,Florida - Orlando
FL15,Florida - Panama City
FL16,Florida - Pensacola
FL18,Florida - Port St. Lucie
FL06,Florida - Sarasota
FL19,Florida - Stuart
FL08,Florida - Tallahassee
FL14,Florida - Tampa Bay
FL02,Florida - West Palm Beach
GA,Georgia
GA6,Georgia - Adel
GA1,Georgia - Atlanta
GA2,Georgia - Augusta
GA7,Georgia - Columbus
GA3,Georgia - Macon
GA8,Georgia - North Georgia
GA4,Georgia - Savannah
GA5,Georgia - Valdosta
HI,Hawaii
HI03,Hawaii - Hilo
HI01,Hawaii - Honolulu
HI02,Hawaii - Kahului
ID,Idaho
ID01,Idaho - Boise
ID02,Idaho - Idaho Falls
IL,Illinois
IL02,Illinois - Chicago
IL03,Illinois - Peoria
IL01,Illinois - Rockford
IL05,Illinois - Springfield
IL06,Illinois - St. Louis
IL04,Illinois - Urbana / Champaign
IN,Indiana
IN04,Indiana - Bloomington
IN06,Indiana - Elkhart
IN05,Indiana - Evansville
IN03,Indiana - Ft. Wayne
IN01,Indiana - Indianapolis
IN07,Indiana - LaPorte
